[
    ('packing_meal_for_delivery_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('serving_hors_d_oeuvres_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('assembling_gift_baskets_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('boxing_food_after_dinner_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('clearing_food_from_table_into_fridge_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('cook_squash_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('putting_dishes_away_after_cleaning_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('dispose_of_a_pizza_box_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('putting_away_Halloween_decorations_backdoor_1_Merom_1_int', 'Merom_1_int'),
    ('laying_wood_floors_backdoor_3_Ihlen_1_int', 'Ihlen_1_int'),
    ('freeze_fruit_backdoor_1_Benevolence_1_int', 'Benevolence_1_int'),
    ('clean_up_broken_glass_backdoor_1_Ihlen_1_int', 'Ihlen_1_int'),
    ('boxing_books_up_for_storage_backdoor_1_Benevolence_1_int', 'Benevolence_1_int'),
    ('putting_dishes_away_after_cleaning_backdoor_1_Ihlen_1_int', 'Ihlen_1_int'),
    ('serving_hors_d_oeuvres_backdoor_1_Wainscott_0_int', 'Wainscott_0_int'),
    ('cook_squash_backdoor_3_Pomaria_1_int', 'Pomaria_1_int'),
    ('serving_hors_d_oeuvres_backdoor_3_Ihlen_1_int', 'Ihlen_1_int'),
    ('attach_a_camera_to_a_tripod_backdoor_1_Rs_int', 'Rs_int'),
    ('opening_doors_backdoor_1_Ihlen_1_int', 'Ihlen_1_int'),
    ('preparing_food_for_a_fundraiser_backdoor_1_Rs_int', 'Rs_int'),
    ('bringing_in_wood_backdoor_3_Rs_int', 'Rs_int'),
    ('laying_wood_floors_backdoor_3_Pomaria_1_int', 'Pomaria_1_int'),
    ('clearing_food_from_table_into_fridge_backdoor_1_Ihlen_1_int', 'Ihlen_1_int'),
    ('clearing_food_from_table_into_fridge_backdoor_3_Merom_1_int', 'Merom_1_int'),
    ('opening_doors_backdoor_2_Merom_1_int', 'Merom_1_int'),
    ('bringing_in_wood_backdoor_3_Ihlen_1_int', 'Ihlen_1_int'),
    ('added_kitchen_task_backdoor_2_Pomaria_1_int', 'Pomaria_1_int'),
    ('boxing_books_up_for_storage_backdoor_1_Rs_int', 'Rs_int'),
    ('collecting_aluminum_cans_backdoor_3_Ihlen_1_int', 'Ihlen_1_int'),
    ('clearing_food_from_table_into_fridge_backdoor_2_Wainscott_0_int', 'Wainscott_0_int'),
    ('cook_squash_backdoor_2_Wainscott_0_int', 'Wainscott_0_int'),
    ('putting_away_Halloween_decorations_backdoor_3_Ihlen_1_int', 'Ihlen_1_int'),
    ('boxing_books_up_for_storage_backdoor_3_Rs_int', 'Rs_int'),
    ('bringing_in_wood_backdoor_1_Wainscott_0_int', 'Wainscott_0_int'),
    ('assembling_gift_baskets_backdoor_2_Pomaria_1_int', 'Pomaria_1_int'),
    ('assembling_gift_baskets_backdoor_3_Rs_int', 'Rs_int'),
    ('packing_meal_for_delivery_backdoor_2_Wainscott_0_int', 'Wainscott_0_int'),
    ('cook_squash_backdoor_3_Ihlen_1_int', 'Ihlen_1_int'),
    ('packing_meal_for_delivery_backdoor_1_Wainscott_0_int', 'Wainscott_0_int'),
    ('assembling_gift_baskets_backdoor_3_Wainscott_0_int', 'Wainscott_0_int'),
    ('dispose_of_a_pizza_box_backdoor_3_Pomaria_1_int', 'Pomaria_1_int'),
    ('preparing_food_for_a_fundraiser_backdoor_2_Pomaria_1_int', 'Pomaria_1_int'),
    ('store_beer_backdoor_2_Pomaria_1_int', 'Pomaria_1_int'),
    ('freeze_fruit_backdoor_1_Ihlen_1_int', 'Ihlen_1_int'),
    ('boxing_food_after_dinner_backdoor_1_Benevolence_1_int', 'Benevolence_1_int'),
    ('clearing_food_from_table_into_fridge_backdoor_1_Wainscott_0_int', 'Wainscott_0_int'),
    ('boxing_food_after_dinner_backdoor_3_Merom_1_int', 'Merom_1_int'),
    ('cook_squash_backdoor_1_Wainscott_0_int', 'Wainscott_0_int'),
    ('clean_up_broken_glass_backdoor_2_Pomaria_1_int', 'Pomaria_1_int'),
    ('boxing_food_after_dinner_backdoor_2_Merom_1_int', 'Merom_1_int'),
    ('cook_a_brisket_backdoor_1_Ihlen_1_int', 'Ihlen_1_int'),
    ('boxing_books_up_for_storage_backdoor_2_Rs_int', 'Rs_int'),
    ('cook_broccolini_backdoor_1_Pomaria_1_int', 'Pomaria_1_int'),
    ('cook_a_brisket_backdoor_2_Wainscott_0_int', 'Wainscott_0_int'),
    ('boxing_food_after_dinner_backdoor_1_Merom_1_int', 'Merom_1_int'),
    ('clearing_food_from_table_into_fridge_backdoor_1_Merom_1_int', 'Merom_1_int'),
    ('dispose_of_a_pizza_box_backdoor_2_Wainscott_0_int', 'Wainscott_0_int'),
    ('boxing_books_up_for_storage_backdoor_2_Pomaria_1_int', 'Pomaria_1_int'),
    ('assembling_gift_baskets', 'Beechwood_0_int'),
    ('recycling_office_papers', 'Beechwood_0_int'),
    ('preparing_food_for_a_fundraiser', 'Rs_int'),
    ('collecting_aluminum_cans', 'Pomaria_0_int'),
    ('laying_tile_floors', 'Merom_1_int'),
    ('attach_a_camera_to_a_tripod', 'Benevolence_2_int'),
    ('buy_candle_making_supplies', 'grocery_store_cafe'),
    ('dispose_of_a_pizza_box', 'Wainscott_0_int'),
    ('store_beer', 'Beechwood_0_int'),
    ('freeze_fruit', 'Ihlen_1_int'),
    ('remove_sod', 'Pomaria_0_garden'),
    ('composting_waste', 'Rs_int'),
    ('boxing_books_up_for_storage', 'Pomaria_1_int'),
    ('collecting_aluminum_cans', 'Rs_int'),
    ('dispose_of_batteries', 'Ihlen_1_int'),
    ('laying_tile_floors', 'Wainscott_1_int'),
    ('buy_dog_food', 'grocery_store_cafe'),
    ('buy_eggs', 'grocery_store_cafe'),
    ('bringing_in_wood', 'Rs_int'),
    ('collecting_aluminum_cans', 'Benevolence_2_int'),
    ('dispose_of_a_pizza_box', 'Rs_int'),
    ('cook_squash', 'Wainscott_0_int'),
    ('dispose_of_batteries', 'Rs_int'),
    ('organizing_office_documents', 'Pomaria_0_garden'),
    ('packing_meal_for_delivery', 'Beechwood_0_int'),
    ('bringing_in_wood', 'Beechwood_0_int'),
    ('cook_squash', 'Pomaria_1_int'),
    ('boxing_food_after_dinner', 'Wainscott_0_int'),
    ('clearing_food_from_table_into_fridge', 'Beechwood_0_int'),
    ('dispose_of_batteries', 'Benevolence_2_int'),
    ('laying_tile_floors', 'Benevolence_0_int'),
    ('buy_food_for_a_party', 'grocery_store_cafe'),
    ('buy_basic_garden_tools', 'grocery_store_cafe'),
    ('delivering_groceries_to_doorstep', 'Pomaria_0_garden'),
    ('cook_squash', 'Rs_int'),
    ('recycling_office_papers', 'Pomaria_0_int'),
    ('attach_a_camera_to_a_tripod', 'Wainscott_0_int'),
    ('putting_dishes_away_after_cleaning', 'Wainscott_0_int'),
    ('putting_away_Halloween_decorations', 'Wainscott_0_int'),
    ('laying_wood_floors', 'Ihlen_1_int'),
    ('laying_tile_floors', 'Pomaria_0_garden'),
    ('store_firewood_outdoors', 'Pomaria_0_garden'),
    ('bringing_in_wood', 'Merom_1_int'),
    ('bringing_in_wood', 'Benevolence_1_int'),
    ('setting_mousetraps', 'Pomaria_0_garden'),
    ('laying_wood_floors', 'Rs_int'),
    ('attach_a_camera_to_a_tripod', 'Rs_int'),
    ('putting_away_Halloween_decorations', 'Rs_int'),
    ('clean_up_broken_glass', 'Wainscott_0_int'),
    ('laying_wood_floors', 'Beechwood_0_int'),
    ('preparing_food_for_a_fundraiser', 'Beechwood_0_int'),
    ('recycling_office_papers', 'Pomaria_0_garden'),
    ('putting_dishes_away_after_cleaning', 'Beechwood_0_int'),
    ('putting_away_Halloween_decorations', 'Beechwood_0_int'),
    ('packing_meal_for_delivery', 'Ihlen_1_int'),
    ('packing_meal_for_delivery', 'Pomaria_1_int'),
    ('boxing_books_up_for_storage', 'Ihlen_0_int'),
    ('bringing_in_wood', 'Pomaria_1_int'),
    ('collecting_aluminum_cans', 'house_double_floor_upper'),
    ('opening_doors', 'Merom_0_int'),
    ('cook_a_brisket', 'Wainscott_0_int'),
    ('attach_a_camera_to_a_tripod', 'Pomaria_0_garden'),
    ('cook_a_brisket', 'Ihlen_1_int'),
    ('boxing_books_up_for_storage', 'Merom_0_int'),
    ('collecting_dishes_from_around_house', 'Wainscott_0_int'),
    ('organizing_office_documents', 'Beechwood_0_int'),
    ('boxing_books_up_for_storage', 'Rs_int'),
    ('boxing_food_after_dinner', 'Benevolence_1_int'),
    ('cleaning_parks', 'Pomaria_0_garden'),
    ('packing_meal_for_delivery', 'Rs_int'),
    ('de_clutter_your_garage', 'Ihlen_0_int'),
    ('freeze_fruit', 'Beechwood_0_int'),
    ('opening_doors', 'Beechwood_0_int'),
    ('dispose_of_a_pizza_box', 'Beechwood_0_int'),
    ('attach_a_camera_to_a_tripod', 'Pomaria_2_int'),
    ('clean_up_broken_glass', 'Beechwood_0_int'),
    ('setting_mousetraps', 'Pomaria_0_int'),
    ('setting_mousetraps', 'Ihlen_1_int'),
    ('boxing_books_up_for_storage', 'Beechwood_0_int'),
    ('buy_food_for_camping', 'grocery_store_cafe'),
    ('laying_wood_floors', 'Merom_1_int'),
    ('collecting_aluminum_cans', 'Pomaria_0_garden'),
    ('added_kitchen_task', 'Pomaria_1_int'),
    ('serving_hors_d_oeuvres', 'Ihlen_1_int'),
    ('collecting_aluminum_cans', 'Beechwood_1_int'),
    ('assembling_gift_baskets', 'Wainscott_0_int'),
    ('cook_a_brisket', 'Beechwood_0_int'),
    ('laying_tile_floors', 'Beechwood_0_int'),
    ('store_beer', 'Wainscott_0_int'),
    ('cook_squash', 'Beechwood_0_int'),
    ('dispose_of_batteries', 'Beechwood_1_int'),
    ('assembling_gift_baskets', 'Rs_int'),
    ('preparing_food_for_a_fundraiser', 'Pomaria_1_int'),
    ('freeze_fruit', 'Benevolence_1_int'),
    ('dispose_of_a_pizza_box', 'Benevolence_1_int'),
    ('boxing_food_after_dinner', 'Beechwood_0_int'),
    ('added_kitchen_task', 'Beechwood_0_int'),
    ('clean_up_broken_glass', 'Benevolence_1_int'),
    ('collecting_aluminum_cans', 'Wainscott_1_int'),
    ('serving_hors_d_oeuvres', 'Beechwood_0_int'),
]
